family,difficulty,repetition,failure_category,agent_steps,tool_calls,provider_request_attempts,model_calls,count
calculator,easy,1,agent_fail,1,0,1,1,16
calculator,easy,2,agent_fail,1,0,1,1,16
calculator,easy,3,agent_fail,1,0,1,1,16
calculator,easy,4,agent_fail,1,0,1,1,16
calculator,easy,5,agent_fail,1,0,1,1,16
calculator,hard,1,agent_fail,1,0,1,1,16
calculator,hard,2,agent_fail,1,0,1,1,16
calculator,hard,3,agent_fail,1,0,1,1,16
calculator,hard,4,agent_fail,1,0,1,1,16
calculator,hard,5,agent_fail,1,0,1,1,16
calculator,medium,1,agent_fail,1,0,1,1,16
calculator,medium,2,agent_fail,1,0,1,1,16
calculator,medium,3,agent_fail,1,0,1,1,16
calculator,medium,4,agent_fail,1,0,1,1,16
calculator,medium,5,agent_fail,1,0,1,1,16
direct_answer,easy,1,agent_fail,1,0,1,1,16
direct_answer,easy,2,agent_fail,1,0,1,1,16
direct_answer,easy,3,agent_fail,1,0,1,1,16
direct_answer,easy,4,agent_fail,1,0,1,1,16
direct_answer,easy,5,agent_fail,1,0,1,1,16
direct_answer,hard,1,agent_fail,1,0,1,1,16
direct_answer,hard,2,agent_fail,1,0,1,1,16
direct_answer,hard,3,agent_fail,1,0,1,1,16
direct_answer,hard,4,agent_fail,1,0,1,1,16
direct_answer,hard,5,agent_fail,1,0,1,1,16
direct_answer,medium,1,agent_fail,1,0,1,1,16
direct_answer,medium,2,agent_fail,1,0,1,1,16
direct_answer,medium,3,agent_fail,1,0,1,1,16
direct_answer,medium,4,agent_fail,1,0,1,1,16
direct_answer,medium,5,agent_fail,1,0,1,1,16
